id,image_path,mask_path,fov_path,split,fold
29,data/DRIVE/training/images/29_training.tif,data/DRIVE/training/1st_manual/29_manual1.gif,data/DRIVE/training/mask/29_training_mask.gif,train,2
28,data/DRIVE/training/images/28_training.tif,data/DRIVE/training/1st_manual/28_manual1.gif,data/DRIVE/training/mask/28_training_mask.gif,train,2
25,data/DRIVE/training/images/25_training.tif,data/DRIVE/training/1st_manual/25_manual1.gif,data/DRIVE/training/mask/25_training_mask.gif,train,2
30,data/DRIVE/training/images/30_training.tif,data/DRIVE/training/1st_manual/30_manual1.gif,data/DRIVE/training/mask/30_training_mask.gif,train,2
37,data/DRIVE/training/images/37_training.tif,data/DRIVE/training/1st_manual/37_manual1.gif,data/DRIVE/training/mask/37_training_mask.gif,train,2
40,data/DRIVE/training/images/40_training.tif,data/DRIVE/training/1st_manual/40_manual1.gif,data/DRIVE/training/mask/40_training_mask.gif,train,2
36,data/DRIVE/training/images/36_training.tif,data/DRIVE/training/1st_manual/36_manual1.gif,data/DRIVE/training/mask/36_training_mask.gif,train,2
31,data/DRIVE/training/images/31_training.tif,data/DRIVE/training/1st_manual/31_manual1.gif,data/DRIVE/training/mask/31_training_mask.gif,train,2
24,data/DRIVE/training/images/24_training.tif,data/DRIVE/training/1st_manual/24_manual1.gif,data/DRIVE/training/mask/24_training_mask.gif,train,2
23,data/DRIVE/training/images/23_training.tif,data/DRIVE/training/1st_manual/23_manual1.gif,data/DRIVE/training/mask/23_training_mask.gif,train,2
33,data/DRIVE/training/images/33_training.tif,data/DRIVE/training/1st_manual/33_manual1.gif,data/DRIVE/training/mask/33_training_mask.gif,train,2
34,data/DRIVE/training/images/34_training.tif,data/DRIVE/training/1st_manual/34_manual1.gif,data/DRIVE/training/mask/34_training_mask.gif,train,2
26,data/DRIVE/training/images/26_training.tif,data/DRIVE/training/1st_manual/26_manual1.gif,data/DRIVE/training/mask/26_training_mask.gif,train,2
27,data/DRIVE/training/images/27_training.tif,data/DRIVE/training/1st_manual/27_manual1.gif,data/DRIVE/training/mask/27_training_mask.gif,train,2
32,data/DRIVE/training/images/32_training.tif,data/DRIVE/training/1st_manual/32_manual1.gif,data/DRIVE/training/mask/32_training_mask.gif,train,2
39,data/DRIVE/training/images/39_training.tif,data/DRIVE/training/1st_manual/39_manual1.gif,data/DRIVE/training/mask/39_training_mask.gif,train,2
